tiktok_link,tiktok_description,tiktok_hashtag,Username,tiktok_views,posted_date,tiktok_image,extracted_date
https://www.tiktok.com/@mooda.my/video/7194376150649441562,"Haritu cakap lain, harini jadi lain pulak. Amacam ni Datuk Seri? #mooda  #edutainment  #fyp  #trending  #politik  #pmx  #nurulizzahanwar  #nepotisme  #anakberanak  ",#mooda #edutainment #fyp #trending #politik #pmx #nurulizzahanwar #nepotisme #anakberanak,mooda.my,243.4K,30/1/2023,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/f08336acf7324d968077dbe324c945e9_1675071260~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/1211bfb1fb244d64b45c7a308422eb92.image?x-expires=1675530000&x-signature=6luXJX5iK5%2BAtSmnBmNRUkyXHFg%3D,4/2/2023
https://www.tiktok.com/@saudagar7store/video/7194103553718258970,"Sebelum ini bagai tiada lantikan pelik² berlaku, Sekarang Ramai terkejut🤣 #fyp  #fypシ  #nurulizzahanwar  #lokmanadam  #pmx  ",#fyp #fyp #nurulizzahanwar #lokmanadam #pmx,saudagar7store,378.2K,30/1/2023,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/oMGeceHAhGgHk1r2yL4etzeGIibltEAHPESrMQ~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/81ce95ec9e4e41899b0da0f2dcc5a1c6.image?x-expires=1675530000&x-signature=vkULt%2F%2BNwcZS5vrSKjygbDKlpoo%3D,4/2/2023
https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,#anwaribrahim  #nurulizzahanwar  #pkr  #nepotisme  #pakatanharapan  #perdanamenteri  #menteriekonomi  #malaysia  #fyp  ,#anwaribrahim #nurulizzahanwar #pkr #nepotisme #pakatanharapan #perdanamenteri #menteriekonomi #malaysia #fyp,thaqibshaker,485.6K,30/1/2023,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675530000&x-signature=TXJ%2F5LLjFz1B7vNbZYJVAchcDZk%3D,4/2/2023
https://www.tiktok.com/@nazrihamdan/video/7194038999374155035,#shouldbeme  Nurul Izzah dilantik sebagai penasihat ekonomi PM #geng_economist  #akantetapi  #economics  #21kunci  ,#shouldbeme #geng_economist #akantetapi #economics #21kunci,nazrihamdan,143.2K,30/1/2023,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/5bcbf1b2fab14f7eb11b7e173ffb50ee_1674992768~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d7bc3117b5ca46e6abeabd2f86620dcb.image?x-expires=1675530000&x-signature=vFD12DYpbImeOaPS8j2vt%2FGcco4%3D,4/2/2023
https://www.tiktok.com/@funnyhippopotamus/video/7195126534770806043,"Comel je tengok gelagat anak dengan bapak macam nie 😂 Nurul Izzah dilantik sebagai Penasihat Kanan Ekonomi dan Kewangan kepada Perdana Menteri Malaysia, Dato Seri Anwar Ibrahim #nurulizzah  #anwaribrahim  #dsai  #pakatanharapan  #fypシ  #foryou  #foryourpage  ",#nurulizzah #anwaribrahim #dsai #pakatanharapan #fyp #foryou #foryourpage,funnyhippopotamus,516.4K,1/2/2023,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/8ba79301c3e54c298f19aa14fb8dad59_1675245952~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/d6ea58013d93463db02adfd8bf8e9502.image?x-expires=1675530000&x-signature=eVooNjX6vb%2FCS0kDulBXvmewM0Y%3D,4/2/2023
https://www.tiktok.com/@ratunaga/video/7194729114736151834,,#,ratunaga,248.2K,31/1/2023,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/okEZVZIgefAeuDZoOCrJCsbqyfnBGEBQGCBH6x?x-expires=1675530000&x-signature=P3i4edQdbRrbPY%2BMJFxWLH%2FEM7A%3D,4/2/2023
https://www.tiktok.com/@the_sleepyhead90/video/7194323398632246554,Macam kena baju dengan berita.. 😅 #fyp  #fypシ  #fyppppppppppppppppppppppp  #fyppppppppppppppppppppppp  #tiktokmalaysia  ,#fyp #fyp #fyppppppppppppppppppppppp #fyppppppppppppppppppppppp #tiktokmalaysia,the_sleepyhead90,297.2K,30/1/2023,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o8QugDDqVv81Arnjs8efbAorE7LC9DSQPa1hBI?x-expires=1675530000&x-signature=1h2WMgUcA6vN7v%2Fki8nFP1bFAfQ%3D,4/2/2023
https://www.tiktok.com/@studiogombaksetia/video/7194485615717633306,Anuar(MOF) minta tolong Izzah.. Izzah bagi nasihat.. Anuar (MOF) jumpa Anuar (PM) .. pusing kt situ jugak,#,studiogombaksetia,73K,31/1/2023,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/oUD1YjfBr9khC4fVVFIBWbAPO8QN8tPXhj1Epz?x-expires=1675530000&x-signature=JrLQ0IvR8Qamgx6tnSKKyvtQa2w%3D,4/2/2023
https://www.tiktok.com/@jason.yew/video/7194059149716507930,"""Nurul Izzah tidak dibayar gaji/elaun sebagai Penasihat Kanan PM"" - PM Anwar #penasihat  #nurulizzahanwar  #PMX  #MalaysiaMADANI  #KerajaanPerpaduan  #DSAIPM10  #anwaribrahim  #KEADILANuntukSemua  #foryou  ",#penasihat #nurulizzahanwar #PMX #MalaysiaMADANI #KerajaanPerpaduan #DSAIPM10 #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,487.7K,30/1/2023,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/718dc500cdbd4f9da28e3ff2a6fc2490_1674997430?x-expires=1675530000&x-signature=vkx4Pw7kdcNKKM9ezfNtQRoGyqg%3D,4/2/2023
https://www.tiktok.com/@muhdtarmizisik/video/7194066712508009755,#nurulizzahanwar  #penasihat  #ekonomi  #kewangan  #pm10  #anwaribrahim  #pakatanharapan  #ph  #madani  ,#nurulizzahanwar #penasihat #ekonomi #kewangan #pm10 #anwaribrahim #pakatanharapan #ph #madani,muhdtarmizisik,761.9K,30/1/2023,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/owDDUZnMeTmJ1dWwmVcKAB2CfVXEIPBbQjnErD?x-expires=1675530000&x-signature=Un5H%2BP5NdtONI%2FCWlW3uOn8g2ZE%3D,4/2/2023
